Date,Price
1928-10-01,0.6733644441388376
1928-11-01,0.931877167684224
1928-12-01,0.9671931135237577
1929-01-01,1.236536060459935
1929-02-01,1.2530168351850506
1929-03-01,1.2516041973514695
1929-04-01,1.2549003522964923
1929-05-01,1.2647888171315618
1929-06-01,1.3231778475862574
1929-07-01,1.558617486516482
1929-08-01,1.7253087508790808
1929-09-01,1.75544502466215
1929-10-01,1.0882090879338935
1929-11-01,0.4920759221625647
1929-12-01,0.6710100477495353
1930-01-01,0.7505886457079514
1930-02-01,0.8612452760051567
1930-03-01,0.9634260793008744
1930-04-01,1.0317035745906395
1930-05-01,0.8546529661151105
1930-06-01,0.6328688262428391
1930-07-01,0.5071440590540993
1930-08-01,0.4977264734968903
1930-09-01,0.461939648379496
1930-10-01,0.21472802750276024
1930-11-01,0.04709500458444025
